Id,Song Name,Artist id,Artist,Album Name,Release Date,Popularity,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist_followers,Genre
6BePGk3eCan4FqaW2X8Qy3,10:35,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,10:35,2022-11-03,84,,0.0683,https://api.spotify.com/v1/audio-analysis/6BePGk3eCan4FqaW2X8Qy3,0.696,172253.0,0.793,6BePGk3eCan4FqaW2X8Qy3,3.78e-06,8.0,0.18,-5.733,1.0,0.097,120.003,4.0,https://api.spotify.com/v1/tracks/6BePGk3eCan4FqaW2X8Qy3,audio_features,spotify:track:6BePGk3eCan4FqaW2X8Qy3,0.698,6598099,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
5Sk39LuvdwuvL84jD01Dum,vendetta!,7B9Gg9epjQzfNGdxijFczG,MUPP,vendetta!,2022-05-20,84,,0.175,https://api.spotify.com/v1/audio-analysis/5Sk39LuvdwuvL84jD01Dum,0.706,107045.0,0.91,5Sk39LuvdwuvL84jD01Dum,2e-06,1.0,0.11,-3.527,1.0,0.146,126.007,4.0,https://api.spotify.com/v1/tracks/5Sk39LuvdwuvL84jD01Dum,audio_features,spotify:track:5Sk39LuvdwuvL84jD01Dum,0.667,46507,"['drift phonk', 'hyperpop']"
2pIUpMhHL6L9Z5lnKxJJr9,Attention,6HvZYsbFfjnjFrWF950C9d,NewJeans,NewJeans 1st EP 'New Jeans',2022-08-01,84,,0.236,https://api.spotify.com/v1/audio-analysis/2pIUpMhHL6L9Z5lnKxJJr9,0.811,180067.0,0.648,2pIUpMhHL6L9Z5lnKxJJr9,0.0,10.0,0.0761,-3.684,0.0,0.0368,104.988,4.0,https://api.spotify.com/v1/tracks/2pIUpMhHL6L9Z5lnKxJJr9,audio_features,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,0.695,957740,"['k-pop', 'k-pop girl group']"
2hLXUbsOU9cDb9RFva9FYr,MEMORIAS,0Q8NcsJwoCbZOHHW63su5S,Mora,MICRODOSIS,2022-04-01,84,,0.389,https://api.spotify.com/v1/audio-analysis/2hLXUbsOU9cDb9RFva9FYr,0.771,228750.0,0.707,2hLXUbsOU9cDb9RFva9FYr,0.0,2.0,0.0745,-6.404,0.0,0.055,127.963,4.0,https://api.spotify.com/v1/tracks/2hLXUbsOU9cDb9RFva9FYr,audio_features,spotify:track:2hLXUbsOU9cDb9RFva9FYr,0.317,1044559,['trap latino']
4d4ZXH4dr5bYfgErHiZCX2,Dos Mil 16,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Un Verano Sin Ti,2022-05-06,84,,0.123,https://api.spotify.com/v1/audio-analysis/4d4ZXH4dr5bYfgErHiZCX2,0.817,208615.0,0.67,4d4ZXH4dr5bYfgErHiZCX2,1.92e-06,1.0,0.128,-6.534,1.0,0.0506,130.058,3.0,https://api.spotify.com/v1/tracks/4d4ZXH4dr5bYfgErHiZCX2,audio_features,spotify:track:4d4ZXH4dr5bYfgErHiZCX2,0.495,59583011,"['reggaeton', 'trap latino']"
0uBcoM4zxRXk7kmsmxoiFS,Calidad,1dKdetem2xEmjgvyymzytS,Grupo Firme,Calidad,2022-07-12,84,,0.609,https://api.spotify.com/v1/audio-analysis/0uBcoM4zxRXk7kmsmxoiFS,0.731,170053.0,0.491,0uBcoM4zxRXk7kmsmxoiFS,0.0,0.0,0.262,-3.116,1.0,0.029,132.891,3.0,https://api.spotify.com/v1/tracks/0uBcoM4zxRXk7kmsmxoiFS,audio_features,spotify:track:0uBcoM4zxRXk7kmsmxoiFS,0.781,8003821,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']"
3ZGkdrigbWXLgHungXfZkt,Los Botones Azules,7Gi6gjaWy3DxyilpF1a8Is,Junior H,Mi Vida En Un Cigarro 2,2022-02-11,84,,0.0877,https://api.spotify.com/v1/audio-analysis/3ZGkdrigbWXLgHungXfZkt,0.784,135612.0,0.737,3ZGkdrigbWXLgHungXfZkt,0.0,5.0,0.1,-2.174,1.0,0.0758,97.5,3.0,https://api.spotify.com/v1/tracks/3ZGkdrigbWXLgHungXfZkt,audio_features,spotify:track:3ZGkdrigbWXLgHungXfZkt,0.623,4407056,"['corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']"
1gH1h30wkQdd9zhY3j7a8T,THE SHADE,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,WHO CARES?,2022-03-11,84,,0.391,https://api.spotify.com/v1/audio-analysis/1gH1h30wkQdd9zhY3j7a8T,0.898,181507.0,0.509,1gH1h30wkQdd9zhY3j7a8T,0.0,5.0,0.0876,-7.973,1.0,0.062,119.869,4.0,https://api.spotify.com/v1/tracks/1gH1h30wkQdd9zhY3j7a8T,audio_features,spotify:track:1gH1h30wkQdd9zhY3j7a8T,0.727,4749267,"['bedroom pop', 'pop']"
4zrKN5Sv8JS5mqnbVcsul7,Celestial,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Celestial,2022-09-29,84,,0.0529,https://api.spotify.com/v1/audio-analysis/4zrKN5Sv8JS5mqnbVcsul7,0.574,209027.0,0.852,4zrKN5Sv8JS5mqnbVcsul7,0.0,2.0,0.161,-1.248,1.0,0.0397,123.038,4.0,https://api.spotify.com/v1/tracks/4zrKN5Sv8JS5mqnbVcsul7,audio_features,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,0.501,105408325,"['pop', 'uk pop']"
59CfNbkERJ3NoTXDvoURjj,Boyfriend,2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,Boyfriend,2022-02-11,84,,0.232,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,0.345,153000.0,0.612,59CfNbkERJ3NoTXDvoURjj,0.0,7.0,0.194,-6.543,0.0,0.0608,179.773,3.0,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,audio_features,spotify:track:59CfNbkERJ3NoTXDvoURjj,0.232,3868649,"['pop', 'post-teen pop']"
6VhuP99TE6gYNQRJIlAWFD,Until I Found You,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,Easy On My Eyes,2022-08-19,84,,0.757,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,0.346,176667.0,0.5,6VhuP99TE6gYNQRJIlAWFD,0.0,10.0,0.189,-6.097,1.0,0.0388,202.466,3.0,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,audio_features,spotify:track:6VhuP99TE6gYNQRJIlAWFD,0.191,310919,"['gen z singer-songwriter', 'pop']"
